epoch,train_loss,val_loss,train_acc,val_acc
0,0.6554308574663166,0.38935576301710506,0.7596983207633652,0.8671037279848881
1,0.3460371285660373,0.256015787889615,0.8770087642540662,0.9115506417023168
2,0.26243359166427305,0.21011797865114426,0.9067738933566677,0.9286627034835269
3,0.21362145974435157,0.27279320162793497,0.9254552273011376,0.9108283793544086
4,0.18093169558549962,0.20007555249986234,0.9360945594955346,0.937218734374132
5,0.15870007145367662,0.16408250086728943,0.9451504923816271,0.9436635368631591
6,0.13442978823392157,0.17442580128629412,0.9529285942469825,0.9434413022945719
7,0.11920859979911325,0.15344554974467967,0.9585260496965151,0.9507750430579477
8,0.10508992063185485,0.20249530225425377,0.963262358153812,0.9344963609089394
9,0.09242890225097115,0.1495556099369333,0.9674430879064405,0.9559975554197455
10,0.08431313816959414,0.15025312966412674,0.9707626706668333,0.9573865214734152
11,0.07619473928596149,0.16428713668845216,0.9735544536577914,0.956386465914773
12,0.07111465990535948,0.1971365105985123,0.9754017528508132,0.9477748763820212
13,0.0658764034023228,0.2591477239444552,0.9771379363029016,0.9526640368909384
14,0.06076116519386151,0.18096952908803612,0.9788880092226065,0.9541641202289016
15,0.055188543873309674,0.3514181056538116,0.9805130769337611,0.9552752930718373
16,0.05116793635881266,0.2940327249823052,0.9820964762420656,0.9394410800600034
17,0.051695973870552796,0.42975088239824144,0.9824437129324833,0.9542196788710484
18,0.04638256112651038,0.32842434288125383,0.9847632540244733,0.9554975276404245
19,0.04639076894983157,0.3180933612282239,0.9844993541397559,0.9474970831712873
