epoch,train_loss,val_loss,train_acc,val_acc
0,1.0963023913826087,0.83992706334679,0.578468547300582,0.6901494527473748
1,0.7633280202065256,0.7714118208189568,0.7178632443018459,0.7047613756319796
2,0.6767088256794236,0.6367681529293246,0.7503229301220884,0.7665981443413523
3,0.615453902244707,0.641135392222009,0.7710321263385974,0.7668759375520863
4,0.5841606345827052,0.6315895204842993,0.7845465783296527,0.7813211845102506
5,0.5524119182765354,0.5825176266375379,0.7961303943219856,0.7888771598422134
6,0.5309706754506287,0.5238474254758267,0.8049502062585941,0.8080448913828546
7,0.5157540233354764,0.5610632969008446,0.8101170882120089,0.802489027168176
8,0.4960078886585059,0.5484975472732586,0.8152145228273401,0.8048780487804879
9,0.488100935739971,0.5299896409579751,0.8192563579038016,0.8112672926273682
10,0.47710782173024036,0.5985218884545592,0.8215203411253247,0.7895438635479749
11,0.4670950456767004,0.5254594592591864,0.8285345222717614,0.8142674593032946
12,0.4590848150141787,0.49930295922887463,0.8297984638248816,0.82299016612034
13,0.45203791624790923,0.5561963182299314,0.8334097254052252,0.8071003944663593
14,0.4452497751887712,0.5528897311624559,0.835451477144881,0.8081004500250014
15,0.4407115726695071,0.5401803589684644,0.8381460338625221,0.8151008389354965
16,0.43597667949489793,0.55718944641909,0.8397294331708266,0.8094894160786711
17,0.4289795936887147,0.652715736364807,0.842548995097018,0.7824879159953331
18,0.42415384769864295,0.5378830675831523,0.8438823839882218,0.8173787432635147
19,0.41900412318948643,0.5611332560741387,0.8452296623470422,0.8046558142119007
