epoch,train_loss,val_loss,train_acc,val_acc
0,1.1386855941029927,0.9009076056529949,0.5644679639429421,0.6674259681093394
1,0.7899537051130269,0.7407602476135837,0.7034043085128547,0.7128173787432636
2,0.6980999513154795,0.6594759563085629,0.7361973415558982,0.7429857214289682
3,0.643381455628888,0.6520915517767798,0.7576149006208592,0.7539307739318851
4,0.6052527740623183,0.6233167238850165,0.7726433045821354,0.763820212234013
5,0.5756433264721033,0.6123176063643523,0.7860049724294068,0.7725984776932052
6,0.5497772161631098,0.5752016189551346,0.7939219689709294,0.7895994221901217
7,0.5269859843685633,0.595702636793452,0.8037001541730906,0.783821323406856
8,0.5096308368585306,0.5146997327559245,0.8103532091614929,0.8106561475637536
9,0.4918939018025219,0.5064939900564613,0.8171451588260622,0.8122117895438635
10,0.47562751602285486,0.5376197839374873,0.8228398405489118,0.8057114284126896
11,0.46896157705462277,0.5535923464258824,0.8255621762017862,0.8007667092616256
12,0.44903069472061397,0.5700848123059815,0.8342014250593774,0.7977665425856992
13,0.4449569274227905,0.4760651560878376,0.8362848452018834,0.8308239346630368
14,0.43235243334044815,0.5126358729013768,0.8405766906954456,0.8135451969553864
15,0.4273875738636299,0.49830370364750326,0.8435351472978041,0.8184343574643036
16,0.416897311967814,0.5217803402614614,0.8456046779726933,0.8149341630090561
17,0.4099595247433572,0.47693674691127824,0.8480492242732336,0.8352686260347797
18,0.4022570552519583,0.4830136135899603,0.8507715599261081,0.8301572309572754
19,0.39345211978366984,0.4653825366838937,0.8537716849313166,0.8348797155397523
